"alder";"kjønn";"år";"statistikkvariabel";"Folkemengde, etter alder, kjønn, år og statistikkvariabel"
"000 0 år";"0 Begge kjønn";"1846";"Personer";36372
"000 0 år";"0 Begge kjønn";"1847";"Personer";38286
"000 0 år";"0 Begge kjønn";"1848";"Personer";38326
"000 0 år";"0 Begge kjønn";"1849";"Personer";37308
"000 0 år";"0 Begge kjønn";"1850";"Personer";41054
"000 0 år";"0 Begge kjønn";"1851";"Personer";39993
"000 0 år";"0 Begge kjønn";"1852";"Personer";41500
"000 0 år";"0 Begge kjønn";"1853";"Personer";40554
"000 0 år";"0 Begge kjønn";"1854";"Personer";42572
"000 0 år";"0 Begge kjønn";"1855";"Personer";46250
"000 0 år";"0 Begge kjønn";"1856";"Personer";45644
"000 0 år";"0 Begge kjønn";"1857";"Personer";45299
"000 0 år";"0 Begge kjønn";"1858";"Personer";46864
"000 0 år";"0 Begge kjønn";"1859";"Personer";48235
"000 0 år";"0 Begge kjønn";"1860";"Personer";50898
"000 0 år";"0 Begge kjønn";"1861";"Personer";49707
"000 0 år";"0 Begge kjønn";"1862";"Personer";46096
"000 0 år";"0 Begge kjønn";"1863";"Personer";48614
"000 0 år";"0 Begge kjønn";"1864";"Personer";50381
"000 0 år";"0 Begge kjønn";"1865";"Personer";49969
"000 0 år";"0 Begge kjønn";"1866";"Personer";51764
"000 0 år";"0 Begge kjønn";"1867";"Personer";50520
"000 0 år";"0 Begge kjønn";"1868";"Personer";47247
"000 0 år";"0 Begge kjønn";"1869";"Personer";47364
"000 0 år";"0 Begge kjønn";"1870";"Personer";45712
"000 0 år";"0 Begge kjønn";"1871";"Personer";46739
"000 0 år";"0 Begge kjønn";"1872";"Personer";47526
"000 0 år";"0 Begge kjønn";"1873";"Personer";48370
"000 0 år";"0 Begge kjønn";"1874";"Personer";48873
"000 0 år";"0 Begge kjønn";"1875";"Personer";50893
"000 0 år";"0 Begge kjønn";"1876";"Personer";52399
"000 0 år";"0 Begge kjønn";"1877";"Personer";53449
"000 0 år";"0 Begge kjønn";"1878";"Personer";54599
"000 0 år";"0 Begge kjønn";"1879";"Personer";54915
"000 0 år";"0 Begge kjønn";"1880";"Personer";57237
